address	proposed_name	library	source_url	confidence
0x01ff82f8	OSi_IrqDma0	NitroSDK os	https://github.com/ntrtwl/NitroSDK/blob/main/libraries/os/src/os_irqTable.c	high
0x01ff8308	OSi_IrqDma1	NitroSDK os	https://github.com/ntrtwl/NitroSDK/blob/main/libraries/os/src/os_irqTable.c	high
0x01ff9580	NNSi_G3dFuncSbc_NODEDESC	NitroSystem g3d	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/g3d/src/sbc.c	high
0x021062cc	NNSi_G3dFuncSbc_NODEMIX	NitroSystem g3d	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/g3d/src/sbc.c	high
0x0211482c	OS_Sleep	NitroSDK os	https://github.com/ntrtwl/NitroSDK/blob/main/libraries/os/src/os_thread.c	high
0x02114e1c	OSi_KillThreadWithPriority	NitroSDK os	https://github.com/ntrtwl/NitroSDK/blob/main/libraries/os/src/os_thread.c	medium
0x021145d4	OS_SNPrintf	NitroSDK os	https://github.com/ntrtwl/NitroSDK/blob/main/libraries/os/src/os_printf.c	high
0x0211461c	OS_SPrintf	NitroSDK os	https://github.com/ntrtwl/NitroSDK/blob/main/libraries/os/src/os_printf.c	high
0x02114740	OS_PutStringInit	NitroSDK os	https://github.com/ntrtwl/NitroSDK/blob/main/libraries/os/src/os_printf.c	medium
0x021163ec	OS_IsTickAvailable	NitroSDK os	https://github.com/ntrtwl/NitroSDK/blob/main/libraries/os/src/os_tick.c	high
0x02116528	OS_SetAlarmTag	NitroSDK os	https://github.com/ntrtwl/NitroSDK/blob/main/libraries/os/src/os_alarm.c	high
0x021166e0	OS_SetAlarm	NitroSDK os	https://github.com/ntrtwl/NitroSDK/blob/main/libraries/os/src/os_alarm.c	medium
0x021168a8	OS_IsAlarmAvailable	NitroSDK os	https://github.com/ntrtwl/NitroSDK/blob/main/libraries/os/src/os_alarm.c	high
0x02116a1c	OSi_VCountArr	NitroSDK os	https://github.com/ntrtwl/NitroSDK/blob/main/libraries/os/src/os_valarm.c	low
0x021197c0	FSi_CloseFileCommand	NitroSDK fs	https://github.com/ntrtwl/NitroSDK/blob/main/libraries/fs/src/fs_command_default.c	high
0x0211ed4c	CARD_Enable	NitroSDK card	https://github.com/ntrtwl/NitroSDK/blob/main/libraries/card/src/card_common.c	high
0x0211ed88	CARD_IsEnabled	NitroSDK card	https://github.com/ntrtwl/NitroSDK/blob/main/libraries/card/src/card_common.c	high
0x0211ec44	CARD_GetRomHeader	NitroSDK card	https://github.com/ntrtwl/NitroSDK/blob/main/libraries/card/src/card_common.c	medium
0x0211eea0	CARDi_UnlockResource	NitroSDK card	https://github.com/ntrtwl/NitroSDK/blob/main/libraries/card/src/card_common.c	high
0x0211f230	CARD_WaitBackupAsync	NitroSDK card	https://github.com/ntrtwl/NitroSDK/blob/main/libraries/card/src/card_backup.c	medium
0x0211f23c	CARD_IdentifyBackup	NitroSDK card	https://github.com/ntrtwl/NitroSDK/blob/main/libraries/card/src/card_backup.c	high
0x0211d8dc	PM_GetLEDPattern	NitroSDK spi	https://github.com/ntrtwl/NitroSDK/blob/main/libraries/spi/src/pm.c	high
0x0211d968	PMi_SendLEDPatternCommand	NitroSDK spi	https://github.com/ntrtwl/NitroSDK/blob/main/libraries/spi/src/pm.c	high
0x0211dc78	PM_SetBackLight	NitroSDK spi	https://github.com/ntrtwl/NitroSDK/blob/main/libraries/spi/src/pm.c	medium
0x0211e954	RTC_GetDate	NitroSDK rtc	https://github.com/ntrtwl/NitroSDK/blob/main/libraries/rtc/src/external.c	high
0x0211ec34	RTCi_IsLeapYear	NitroSDK rtc	https://github.com/ntrtwl/NitroSDK/blob/main/libraries/rtc/src/convert.c	medium
0x0211c9c0	DGT hash-2 (MD5) block transform, file-scope static	NitroSDK math	https://github.com/ntrtwl/NitroSDK/blob/main/libraries/math/src/dgt.c	low
